"STATION","DATE","TMAX","TMIN"
"USW00093227","2022-01-01","51","29"
"USW00093227","2022-01-02","53","30"
"USW00093227","2022-01-03","55","43"
"USW00093227","2022-01-04","58","49"
"USW00093227","2022-01-05","56","48"
"USW00093227","2022-01-06","54","50"
"USW00093227","2022-01-07","57","41"
"USW00093227","2022-01-08","58","35"
"USW00093227","2022-01-09","57","37"
"USW00093227","2022-01-10","63","40"
"USW00093227","2022-01-11","61","35"
"USW00093227","2022-01-12","62","37"
"USW00093227","2022-01-13","58","37"
"USW00093227","2022-01-14","62","34"
"USW00093227","2022-01-15","57","42"
"USW00093227","2022-01-16","60","41"
"USW00093227","2022-01-17","59","39"
"USW00093227","2022-01-18","55","34"
"USW00093227","2022-01-19","57","37"
"USW00093227","2022-01-20","65","37"
"USW00093227","2022-01-21","68","34"
"USW00093227","2022-01-22","73","45"
"USW00093227","2022-01-23","63","36"
"USW00093227","2022-01-24","60","32"
"USW00093227","2022-01-25","57","32"
"USW00093227","2022-01-26","62","33"
"USW00093227","2022-01-27","64","31"
"USW00093227","2022-01-28","64","37"
"USW00093227","2022-01-29","61","31"
"USW00093227","2022-01-30","57","27"
"USW00093227","2022-01-31","60","34"
"USW00093227","2022-02-01","62","31"
"USW00093227","2022-02-02","63","42"
"USW00093227","2022-02-03","62","30"
"USW00093227","2022-02-04","62","31"
"USW00093227","2022-02-05","62","34"
"USW00093227","2022-02-06","66","28"
"USW00093227","2022-02-07","69","32"
"USW00093227","2022-02-08","70","32"
"USW00093227","2022-02-09","73","33"
"USW00093227","2022-02-10","72","37"
"USW00093227","2022-02-11","74","37"
"USW00093227","2022-02-12","73","39"
"USW00093227","2022-02-13","75","38"
"USW00093227","2022-02-14","58","44"
"USW00093227","2022-02-15","62","32"
"USW00093227","2022-02-16","72","40"
"USW00093227","2022-02-17","69","38"
"USW00093227","2022-02-18","67","34"
"USW00093227","2022-02-19","67","34"
"USW00093227","2022-02-20","58","37"
"USW00093227","2022-02-21","58","30"
"USW00093227","2022-02-22","53","32"
"USW00093227","2022-02-23","56","28"
"USW00093227","2022-02-24","56","24"
"USW00093227","2022-02-25","59","26"
"USW00093227","2022-02-26","59","28"
"USW00093227","2022-02-27","67","35"
"USW00093227","2022-02-28","70","35"
"USW00093227","2022-03-01","68","38"
"USW00093227","2022-03-02","66","42"
"USW00093227","2022-03-03","57","44"
"USW00093227","2022-03-04","63","41"
"USW00093227","2022-03-05","58","32"
"USW00093227","2022-03-06","61","29"
"USW00093227","2022-03-07","70","30"
"USW00093227","2022-03-08","72","34"
"USW00093227","2022-03-09","69","34"
"USW00093227","2022-03-10","69","36"
"USW00093227","2022-03-11","70","33"
"USW00093227","2022-03-12","63","32"
"USW00093227","2022-03-13","63","42"
"USW00093227","2022-03-14","67","35"
"USW00093227","2022-03-15","66","45"
"USW00093227","2022-03-16","67","38"
"USW00093227","2022-03-17","62","41"
"USW00093227","2022-03-18","67","36"
"USW00093227","2022-03-19","59","41"
"USW00093227","2022-03-20","69","36"
"USW00093227","2022-03-21","73","37"
"USW00093227","2022-03-22","87","53"
"USW00093227","2022-03-23","68","46"
"USW00093227","2022-03-24","67","42"
"USW00093227","2022-03-25","65","42"
"USW00093227","2022-03-26","69","38"
"USW00093227","2022-03-27","61","47"
"USW00093227","2022-03-28","62","44"
"USW00093227","2022-03-29","64","42"
"USW00093227","2022-03-30","62","44"
"USW00093227","2022-03-31","65","39"
"USW00093227","2022-04-01","70","38"
"USW00093227","2022-04-02","75","41"
"USW00093227","2022-04-03","74","39"
"USW00093227","2022-04-04","69","44"
"USW00093227","2022-04-05","72","44"
"USW00093227","2022-04-06","81","36"
"USW00093227","2022-04-07","88","45"
"USW00093227","2022-04-08","83","45"
"USW00093227","2022-04-09","75","39"
"USW00093227","2022-04-10","72","40"
"USW00093227","2022-04-11","61","41"
"USW00093227","2022-04-12","61","30"
"USW00093227","2022-04-13","60","39"
"USW00093227","2022-04-14","56","50"
"USW00093227","2022-04-15","63","40"
"USW00093227","2022-04-16","65","37"
"USW00093227","2022-04-17","64","32"
"USW00093227","2022-04-18","66","35"
"USW00093227","2022-04-19","65","46"
"USW00093227","2022-04-20","66","42"
"USW00093227","2022-04-21","63","46"
"USW00093227","2022-04-22","65","41"
"USW00093227","2022-04-23","74","38"
"USW00093227","2022-04-24","74","39"
"USW00093227","2022-04-25","75","42"
"USW00093227","2022-04-26","70","47"
"USW00093227","2022-04-27","68","40"
"USW00093227","2022-04-28","67","42"
"USW00093227","2022-04-29","75","36"
"USW00093227","2022-04-30","73","42"
"USW00093227","2022-05-01","75","38"
"USW00093227","2022-05-02","69","45"
"USW00093227","2022-05-03","83","43"
"USW00093227","2022-05-04","81","41"
"USW00093227","2022-05-05","70","48"
"USW00093227","2022-05-06","72","52"
"USW00093227","2022-05-07","71","50"
"USW00093227","2022-05-08","63","45"
"USW00093227","2022-05-09","64","38"
"USW00093227","2022-05-10","64","32"
"USW00093227","2022-05-11","69","32"
"USW00093227","2022-05-12","70","38"
"USW00093227","2022-05-13","79","40"
"USW00093227","2022-05-14","83","47"
"USW00093227","2022-05-15","80","53"
"USW00093227","2022-05-16","76","52"
"USW00093227","2022-05-17","80","42"
"USW00093227","2022-05-18","91","45"
"USW00093227","2022-05-19","88","54"
"USW00093227","2022-05-20","83","50"
"USW00093227","2022-05-21","79","43"
"USW00093227","2022-05-22","82","45"
"USW00093227","2022-05-23","84","47"
"USW00093227","2022-05-24","93","48"
"USW00093227","2022-05-25","87","54"
"USW00093227","2022-05-26","70","49"
"USW00093227","2022-05-27","70","53"
"USW00093227","2022-05-28","75","53"
"USW00093227","2022-05-29","77","44"
"USW00093227","2022-05-30","78","43"
"USW00093227","2022-06-01","82","46"
"USW00093227","2022-06-02","78","53"
"USW00093227","2022-06-03","77","53"
"USW00093227","2022-06-04","72","56"
"USW00093227","2022-06-05","75","58"
